date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:39	387164/387164	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:37%20GMT	https://www.dealabs.com/bons-plans/smartphone-55-xiaomi-redmi-note-4-full-hd-snapdragon-625-3-go-de-ram-32-go-4g-b20-vendeur-tiers-1179279	C:/wamp64/www/indus/www.dealabs.com/bons-plans/smartphone-55-xiaomi-redmi-note-4-full-hd-snapdragon-625-3-go-de-ram-32-go-4g-b20-vendeur-tiers-1179279.html	(from https://www.dealabs.com/bons-plans)
15:38:39	709/709	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202017%2000:52:50%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/177668_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/177668_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:39	1272/1272	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:38%20GMT	https://www.dealabs.com/visit/thread/1179279	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179279	(from https://www.dealabs.com/bons-plans)
15:38:40	387620/387620	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:38%20GMT	https://www.dealabs.com/bons-plans/refroidissement-liquide-pour-processeur-nzxt-kraken-x62-1178963	C:/wamp64/www/indus/www.dealabs.com/bons-plans/refroidissement-liquide-pour-processeur-nzxt-kraken-x62-1178963.html	(from https://www.dealabs.com/bons-plans)
15:38:40	721141/721141	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:39%20GMT	https://www.dealabs.com/bons-plans/hardwarefr	C:/wamp64/www/indus/www.dealabs.com/bons-plans/hardwarefr.html	(from https://www.dealabs.com/bons-plans)
15:38:41	530/530	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Oct%202017%2015:47:47%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/301171_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/301171_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:41	912/912	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:39%20GMT	https://www.dealabs.com/visit/thread/1178963	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1178963	(from https://www.dealabs.com/bons-plans)
15:38:41	256778/256778	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:40%20GMT	https://www.dealabs.com/bons-plans/disque-dur-interne-35-western-digital-wd-blue-5400-trsmin-64-mo-4-to-wd40ezrz-1179241	C:/wamp64/www/indus/www.dealabs.com/bons-plans/disque-dur-interne-35-western-digital-wd-blue-5400-trsmin-64-mo-4-to-wd40ezrz-1179241.html	(from https://www.dealabs.com/bons-plans)
15:38:42	842/842	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2004:57:04%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/10337_6.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/10337_6.jpg	(from https://www.dealabs.com/bons-plans)
15:38:42	1176/1176	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:40%20GMT	https://www.dealabs.com/visit/thread/1179241	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179241	(from https://www.dealabs.com/bons-plans)
